Team,Conference,Primary Source,Secondary Source,Native RSS Available?,Fallback Available?,Confidence
Air Force,Mountain West,Denver Gazette,Colorado Springs Gazette,yes,yes,high
Akron,Mid-American,Akron Beacon Journal,News 5 Cleveland WEWS,yes,yes,high
Alabama,SEC,The Tuscaloosa News,Touchdown Alabama,yes,yes,high
App State,Sun Belt,NC Football News,The Avery Journal-Times,yes,yes,high
Arizona,Big 12,Arizona Daily Star,KVOA,no,yes,high
Arizona State,Big 12,azcentral.com and The Arizona Republic,Arizona Sports,no,yes,medium
Arkansas,SEC,The Arkansas Democrat-Gazette,Southwest Times Record,no,yes,high
Arkansas State,Sun Belt,"K8 News | Jonesboro, Arkansas",kjnbtv.com,no,yes,high
Army,American Athletic,Times Herald-Record,Spectrum News,yes,yes,high
Auburn,SEC,The Auburn Observer,WAKA 8,yes,yes,high
BYU,Big 12,The Salt Lake Tribune,KSL Sports,yes,yes,high
Ball State,Mid-American,The Star Press,WISH-TV,no,yes,high
Baylor,Big 12,Waco Tribune-Herald,kcentv.com,yes,yes,high
Boise State,Pac-12,Idaho Press,KTVB,yes,yes,high
Boston College,ACC,NBC Boston,Greenville Online,yes,yes,medium
Bowling Green,Mid-American,WTOL,Akron Beacon Journal,yes,yes,high
Buffalo,Mid-American,,,no,no,low
California,ACC,Bear Insider,,no,yes,medium
Central Michigan,Mid-American,WNEM,MLive.com,no,yes,high
Charlotte,American Athletic,Charlotte Observer,NC Football News,yes,yes,high
Cincinnati,Big 12,Spectrum News,WCPO 9 News,yes,yes,high
Clemson,ACC,Post and Courier,FOX Carolina News,no,yes,high
Coastal Carolina,Sun Belt,WPDE,WBTW,no,yes,high
Colorado,Big 12,The Denver Post,The Coloradoan,no,yes,high
Colorado State,Pac-12,Reporter-Herald,Greeley Tribune,no,yes,high
Delaware,Conference USA,Delaware LIVE News,Bay to Bay News,yes,yes,high
Duke,ACC,The Fayetteville Observer,News & Observer,no,yes,high
East Carolina,American Athletic,NC Football News,WRAL,yes,yes,high
Eastern Michigan,Mid-American,The Eastern Echo,MLive.com,no,yes,medium
Florida,SEC,Gainesville Sun,Mainstreet Daily News Gainesville,no,yes,high
Florida Atlantic,American Athletic,The Palm Beach Post,,no,yes,high
